Index,Ad Text,Search Result
74,"In addition to mono materials with barrier properties, more and more food packaging will soon be introduced after chemical recycling (also called advanced recycling) of packaging waste. In addition, even contaminated, nonfood packaging of mixed plastics can be turned into clean food packaging. Read the article to find out more about ExxonMobil's efforts in this area.",Moderate
75,Explore our new product launch :rocket: and more in the latest issue of Polyethylene Perspectives Newsletter! https://lnkd.in/gfUrkVEc,Low
76,"Ever imagine cars as light as feather and tough as nails? Get the factsheet and discover https://lnkd.in/g36vT4F4 how Achieve:trade_mark: Advanced PP improves toughness, reduces plastomer use and increases lightweighting on interior and exterior auto parts. ",
77,"Our newsletter focuses on innovative packaging solutions created using performance polymers. The first edition includes stories on collation shrink, stretch hood, simplifying traceability from resin to packaging and an article discussing how the value chain is collaborating to produce packaging with sustainability benefits.  Read the inaugural edition and subscribe to receive subsequent editions via email. ",
78,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
79,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
80,"This webinar, conducted in Portuguese, provides an overview of solutions that can provide thickness reduction and simplification of structures as well as enable an increased incorporation of recycled content. The solutions feature ExxonMobil high performance polymers, designed to help to increase efficiency in industrial packaging applications. Register now!",
81,"If you’re serious about integrating hydrogen and carbon capture into your operations, let’s connect.",
82,Watch our lab test video to check out how Actrel:trade_mark: fluids can help efficiently and effectively clean out old and hardening grease from machine parts. https://lnkd.in/g4Ke8ac6,Low
84,"We’re focused on providing lower-emission opportunities to accelerate the world’s path to net zero, offering reliable solutions for industrial customers and operations.",
85,Finalists for the 2023 Power Play Awards have been selected. Check out the full list to learn more about each of this year’s finalists!,
86,"Two high-integrity hygiene compression packaging film solutions that deliver sustainability benefits and are easy to process are now available. Thanks to value chain collaboration between Plastik, GDM and ExxonMobil. Read the case study https://lnkd.in/gDnzvJtn!",Moderate
87,Want to know how our scalable solutions are advancing the energy transition?,
88,"Join us in this live webinar and discover how Henkel, W&H, Kraus Folie, Siegwerk and ExxonMobil collaborated to create an innovative packaging which has outstanding mechanical properties, high oxygen barrier AND can be de-laminated and subsequently de-inked. ",
89,The finalists for the Ambassador Award are great at inspiring others. Learn more about each finalist on our website and stay tuned to see who takes home the award! ,
90,Let us join you on your path to net zero.,High
91,"Create tough, hard-to-puncture agricultural films with Exceed:trade_mark: S performance polyethylene. Exceed S PE delivers simplicity without compromise and resin solutions that streamline film conversion while improving durability. Watch the video https://lnkd.in/gddVfMGp, read the factsheet  and rethink your film design!",
92,"ExxonMobil, along with PT Indoceria Plastik and Printing, is taking action to help address plastic waste by developing one of the first full-PE material food packaging solutions in Indonesia. Read the case study <link> to find out how they did it. https://lnkd.in/eb3z8U_w",Moderate
93,The dedication to innovation and technology leadership in LNG is what sets our Pioneer Award finalists apart. Read up on each finalist and stay tuned to see who is awarded this year!  ,
94,"What happens when the traditional LLDPE/HDPE carrier is replaced by ExxonMobil performance polyethylene (PE) in a masterbatch formulation? 
BeihuaGaoKe, a leading masterbatch manufacturer in China, did just that.
Read the case study https://lnkd.in/gdsGeFdK to find out how jacketing compounds showed improved performance when Enable 4009 performance PE is used as a masterbatch carrier.",
95,"Did you ever wonder what makes butyl rubber different from other elastomers? Isobutylene polymers have bigger bond angles than natural rubber, enabling a tightly packed molecular structure. Click here to learn about the unique and highly desirable properties this structure enables!",
96,Lubricant formulators have to create formulations that satisfy a wide range of customers. Effective formulations require the right balance of base stocks and additives.,
97,"ExxonMobil has developed a novel high density polyethylene (HDPE) grade, ExxonMobil:trade_mark: HD7165L, for Machine Direction Oriented (MDO) PE film applications. Designed for recyclability*, HD7165L can help converters create mono-material laminates to replace multi-material laminate structures which can be difficult to mechanically recycle.      


*Recyclable in communities with programs and facilities in place that collect and recycle plastic film",
98,Lubricant formulators have to create formulations that satisfy a wide range of customers. Effective formulations require the right balance of base stocks and additives. https://lnkd.in/gUV3Hmkq,Low
99,Learn about the five base stock groups and how they meet specific performance goals.,
100,"Additives should dissolve in base oil, but they can drop out. Learn how synthetics can help.",
101,"F&L Asia was full of impressive content and networking opportunities. We’ve put together a montage from our experience there in Kuala Lumpur that we hope you will enjoy!
If you have not had a chance to look at our presentations on the role of Synthetic base stocks in the energy transition, feel free to download them now. We’re looking forward to connecting with you in the future and would love to learn more about how we can help grow your Synthetic base stocks business throughout the energy transition.",
102,"A collaboration with Nordmeccanica, Henkel and HP led to the creation of a mono-material high quality pillow pouch solution that can be mechanically recycled*.  Read the factsheet to find out ExxonMobil’s performance polyethylene (PE) allows the fabrication of full-PE laminated films that are recyclable*, offers excellent packaging integrity and optics and easy processing at optimized line speeds. 


*Recyclable in communities where facilities and programs exist to collect and recycle plastic film.",Moderate
103,"Huangshan Novel and ExxonMobil worked together to test formulations of stand-up-pouches (SUP) made of MDO PE//PE laminate film including ExxonMobil’s Exceed:trade_mark: XP and Exceed:trade_mark: 2012 performance PE. These films showed high stiffness and good optical performance, as well as outstanding bag drop and package integrity. They satisfy end users’ needs for packaging performance, while helping them deliver sustainability benefits due to the monomaterial structure that can improve recyclability*.

*Recyclable in communities with programs and facilities in place to collect and recycle plastic film",Moderate
104,"Butyl rubber offers unique and wonderful properties. Its tightly packed molecular structure results in high density and low permeability, while its broad glass transition temperature enables high damping characteristics. In addition, butyl rubber’s highly saturated backbone provides great ozone, water and chemical resistance.

Watch a short tutorial to learn more!",
105,"Scientex was one of the first in the world to trial and test ExxonMobil’s latest and most advanced performance polyethylene, Exceed:trade_mark:S in their MDO film. Together with Scientex’s state-of-art converting technology, both companies are pushing the boundaries of MDO full-PE packaging design by offering mono-material packaging solutions with sustainability benefits.  The resulting MDO film demonstrated impressive stiffness and toughness with Scientex leveraging it in end applications such as frozen food packaging, stand-up pouches for shampoo, detergent and pet food and glove packaging. ",Moderate
106,"The July version of the PE Perspectives newsletter is now available. Case studies, webinars, seminars, conferences; its got it all.",
108,"A collaboration between ExxonMobil, Hosakawa Alpine, Kuraray and EVAL resulted in the creation of a recyclable* barrier packaging with very high PE content. Read the case study to learn more about how their efforts resulted in a 95% PE-based barrier package, without compromising on package integrity, optics and barrier properties. 

*Recyclable in communities where facilities and programs exist to collect and recycle plastic film",
109,"Read the factsheet about the outcome of a unique value chain collaboration of ExxonMobil, Henkel, Kraus Folie, Siegwerk and Windmöller & Hölscher.
In a breakthrough development, an easier-to-recycle* mono-material PE pouch has been created that has similar properties to more difficult to recycle laminated pouches.


*Recyclable in communities where facilities and programs exist to collect and recycle plastic film",
110,"Thanh Phu Plastic Packaging Co is a leading global flexible packaging manufacturer with a focus on innovation and technological advancement in collaboration with brand owners, suppliers, and industry leaders. Read the case study to find out how Thanh Phu is using ExxonMobil's certified-circular plastic resins to create recyclable* mono-material flexible packaging. 

*Recyclable in communities with programs and facilities in place to collect and recycle plastic film. ",
111,Regístrese ahora para este próximo PE seminario web en vivo en español: Soluciones novedosas para empaques primarios flexibles,
112,Judging is now underway with our international panel of judges and finalists will be announced in a few short weeks.,
113,The nominations are closed and our international panel of judges is reviewing each application carefully. Learn more about the awards program and upcoming key dates!,
114,Nominations for the 2023 Power Play Awards are in and our international panel of judges is in the process of selecting this year’s finalists! ,
115,Exceed:trade_mark: S performance polyethylene (PE) resins deliver industry-leading combinations of stiffness and toughness while being easy to process. Watch the video https://lnkd.in/gJkX6Jfh to learn more about how Exceed:trade_mark: S can give you that edge in industrial packaging applications.,
116,"Find out more about ExxonMobil performance polymer-based solutions for consumer, industrial and agricultural applications. Come on down to the AMI Multilayer Flexible Packaging event happening at the InterContinental Chicago Magnificent Mile Hotel on June 20 & 21.",
