text,user/name
"Get 20% off EV charging! ⚡ 🔌 
We’re offering customers 20% off charging until 20 October at selected Shell Recharge points. 🚗 Download the Shell Recharge app and use the code WORLDEVDAY to save: https://go.shell.com/3PB3zg6. Find out more: https://go.shell.com/45Ljjmr #EV #emobility #electricvehicles #WorldEVDay #ShellRecharge",Shell
"🔌 Charging forward! We continue to expand our EV charging network in the UK, at Shell forecourts, on streets and at destinations including Waitrose & Partners and Aldi UK stores. 👇 Swipe to see how we’re developing our network, giving more drivers the confidence to switch to electric. More: https://go.shell.com/3Zc1eeH #PoweringProgress #WorldEVDay",Shell
"Make every trip to bp twice as rewarding. Scan your BPme Rewards Card when filling your tank or your basket and get those rewards double quick. 

Available at participating dealer owned bp stores until July 1st 2024. For details see bpmerewards.co.uk/DoublePoints",bp
"Take a peek behind the scenes at our UK test kitchen 👋
 
We're training up store teams to deliver our new made-to-order food menu, which is available now at selected Wild Bean Cafes🍔
 
Hear more from Jess, a bp food specialist about our new offer and her favourite dish on the menu 😋",bp
"We're strengthening retail security 🔐 by rolling out a new retail crime intelligence platform and Reveal Body Cameras at our UK company owned retail sites.
 
Safety always comes first at bp. This latest investment will help us better protect our colleagues, help them feel safe at work and keep giving our customers a great experience when they visit us.

on.bp.com/3W3jZBp",bp
"Last week we celebrated Norway’s Constitution Day, 17 May 🇳🇴  

This day is traditionally marked with parades, flags, and festivities across the country, and we’re thrilled to see the same spirit of celebration among our colleagues on our offshore installations 🎉 

We hope everyone had a wonderful day!",Equinor
"Today we celebrated the upcoming sail away of the Johan Castberg floating production and offloading ship from Aker Solutions at Stord 🎉  

The giant will first go the nearby Klosterfjorden for sea trials and then head home to the Barents Sea.  

More than 82 percent of the income from Johan Castberg will go to the Norwegian state, and Norwegian minister of finance Trygve Slagsvold Vedum was one of our guests on the ship today 🇳🇴",Equinor
"This is a world record! Never before has an underwater drone been so long below the surface of the sea 🤿

This Saipem Hydrone-R drone has worked on the Njord field, a full 330 meters underwater for 165 days, making sure that everything is in order around the subsea equipment.

The secret behind the underwater drone world record is the charging plate at the Njord field seabed.

The charging plate is about the size of a large dining table, and just like any robot lawn mower or vacuum cleaner, the underwater drone travels back to the plate to charge its batteries when it needs to  🤖

Dive into our digitization pages on Equinor.com to find out more ⬇️
https://t.ly/ABm5C",Equinor
"Last night, we celebrated thirty years of the bp Student Tutoring Scheme at our Aberdeen office! 🎉

The scheme has provided over 3,000 students with an opportunity to tutor, in hundreds of schools across north-east Scotland. 

Huge thanks to our partners University of Aberdeen, Robert Gordon University, North East Scotland College , Aberdeen City Council and Aberdeenshire Council  for their commitment to the scheme over the past three decades 

Read more and watch our anniversary film: on.bp.com/3TTPsog",bp
"Electric news⚡Hub opening
 
Our newest ultra-fast #EV charging hub is open now! Located in Oldbury, minutes off the M5, it can charge 12 EVs at once.
 
While you charge, you can make the most of the amenities available nearby - grab a coffee ☕, pick up some shopping 🛒 or even get in a quick workout 💪
 
This is the seventh ultra-fast charging hub BP Pulse has opened in the Midlands and is the latest boost to EV charging capacity in the wider Birmingham area.",bp
"“Winning this award is not just for me, it’s for bp and the amazing work we do across diversity and inclusion. We all know this is a team sport. We’ve all got to be on the pitch because this is for the benefit of everybody.“

Dushyant Sharma, North Sea strategy implementation lead and executive sponsor of bp North Sea’s employee initiated and driven business resource groups that focus on improving and celebrating inclusion and diversity, won the Diversity and Inclusion category at the Society of Petroleum Engineers (SPE) Aberdeen Offshore Achievement Awards.",bp
"🔌 Growing the network of EV charge points in Liverpool! 

Liverpool City Council has appointed Shell-owned ubitricity to install 300 on-street EV charge points across Liverpool. The new charge points will treble the city's existing network to 450. 

This is another step towards our aim of 100,000 charge points by 2030. More: http://spr.ly/61843UMM4 #PoweringProgress #EV",Shell
🔌 We’ll be supplying up to 560 Shell Recharge electric vehicle charge points to 100 UKPC public parking locations. Swipe to see more of the actions we’ve taken this year to give drivers the confidence to switch to electric 👇 #PoweringProgress,Shell
"⚡ Off Scotland’s windy coast, our floating wind projects with ScottishPower - MarramWind and CampionWind - will be some of the world’s biggest of their kind. Preparation work is underway right now. Watch for more. https://go.shell.com/3FbbxY1 #PoweringProgress",Shell
"Climate change is one of the biggest issues facing the world today - but it’s not the only one.

Billions of people still fall short of modern living standards. 

So we’re investing billions to tackle both. 

Here’s how we’re helping to make energy more available and reducing emissions: https://exxonmobil.co/47DcVyB",ExxonMobil
"What does it take to create a lower emissions future? Teamwork. 

We have aggressive plans to cut methane emissions and are committed to collaborating with policymakers on clear reporting. Check out our latest step: https://exxonmobil.co/3GmTHRS",ExxonMobil
"👋 Meet Rosmer Brito, Midland Basin production engineer here at ExxonMobil, who recently received the Society of Women Engineers - SWE Patent Recognition Award.

Rosmer’s patent improves Gas Lift Valve (GLV) design, a door that releases gas to push oil up; her team’s design helps minimize erosion and extends equipment run life.

Rosmer started on this project more than six years ago, and she had the opportunity to work with a group of experts to bring this patent to life. 

“Despite being a new hire when I started this patent, I was part of an amazing team that was receptive to my ideas and willing to collaborate and discuss how to make it better. It’s incredible to be at a company like ExxonMobil where your ideas are taken seriously, even in less than a few months from starting. You can really make a difference.” – Rosmer Brito

Congratulations Rosmer!  
 
https://alltogether.swe.org/2023/08/swe-awards-2023/",ExxonMobil
"Happy graduation! 🎓

Last summer our North Sea team welcomed nine students for four weeks of mentoring as part of our long-standing partnership with Career Ready.

Today we celebrated their success in a ceremony in our Aberdeen office.

#ScotGrad24",bp
"Our Wild Bean Cafe menu is getting a tasty upgrade 🍔 

We’re piloting a fresh, made-to-order food offer at selected UK bp forecourts to test and learn what our customers want as their #convenience habits change.",bp
,bp
"💡👩‍🔬 It was great to have 170+ girls curious about science, engineering and energy at today’s Girls in Energy Conference. Learn more: https://go.shell.com/3i7k45j 

North East Scotland College Fife College",Shell
"🔌 Working with City & Guilds we've helped develop training courses for electricians to upskill in EV charger installation. This is part of our wider aim to have 100,000 EV chargers up and down the UK by 2030. ⚡ Learn more: https://go.shell.com/3rdzypM
 
#PoweringProgress #WorldEVDay",Shell
"Shell Go+ Members: Win up to £20 off fuel on your next visit! Enter our weekly prize draw for the chance to win £5, £10, and £20 fuel rewards. Terms and conditions apply. https://go.shell.com/3LC4N74 🚗 🥇",Shell
"Is there such a thing as too much wind for a wind turbine? 💨
 
Storm “Ingunn"" had hurricane-level winds off the coast of Norway over the last few days. In this video you can see how our turbines at Hywind Tampen – the world’s largest floating windfarm – performed.",Equinor
"Thank you to all of those keeping the wheels turning while many of us are taking time off. You’re doing an important job ❤️

Happy holidays and have a Happy New Year!",Equinor
"The future of energy and the way to carbon net zero is powered by digitalisation. From inspecting wind turbines to monitoring oil and gas installations, drones are revolutionizing the way we work with energy🚀  

Explore how Equinor is embracing digitalization to transform the energy sector. From utilizing AI to optimising operations, we're leveraging technology to drive sustainability and efficiency. 

Check out our latest initiatives here👉 https://direc.to/kguc",Equinor
"Reuse and repurpose. 

That was our focus as we started up a new field in the North Sea late last year. Find out more about the project that’s helping secure today’s energy from Nicola and Teresa, two of the engineers behind it.",bp
"An electric start to the new year ⚡

We were delighted to host Anthony Browne, Technology and Decarbonisation Minister, at our brand new Pimlico Gigahub today to mark the start of the ZEV mandate.

This mandate gives us increased confidence in our BP Pulse EV charging strategy. 

We're supporting the UK's #EV charging infrastructure with our plans to invest £1 billion over 10 years and to continue to develop hundreds of EV charging hubs across the country by 2030.",bp
"Our UK retail network is growing, with new retail stores like this one in Faygate, West Sussex📍
 
All part of giving our customers what they want, when and where they want it:
 
⛽ Fuel
🥐 Food
☕ Coffee 
⚡ EV charging

In one convenient location!
 
Watch this space for lots more retail stores and dedicated BP Pulse #EV charging hubs coming soon.",bp
"During this year's Autumn Conference, we discussed how governments and industry can forge a path towards energy security, meet the need for decarbonisation of our energy system, and drive a just energy transition. 

Catch up all the keynote speeches and expert panel discussions with heads of the International Energy Agency (IEA), Norwegian Ministry of Petroleum and Energy, Munich Security Conference, NORIS: Norwegian Intelligence School, our CEO Anders Opedal and more ⬇️
https://www.equinor.com/about-us/autumn-conference-2023",Equinor
"It's the Game of Drones! Equinor wants to be at the forefront of using drones in logistics, inspections, environmental monitoring and emergency response in offshore operations ✈️ 
 
We’ve now established an operations centre in Bergen, Norway. From there a drone pilot can remotely control and fly drones between platforms on the Norwegian continental shelf, and back to shore – more than 100 kilometres from the operations centre.
 
The Tampen area in the North Sea is the first commercial airspace regulated for drone traffic offshore between oil and gas platforms.

Safety is paramount, and safe airspace for both drones and regular air transport like helicopters is crucial for realizing offshore drone flights. Along with Avinor, we’ve developed a system to coordinate unmanned air traffic 🕹️
 
There’s still a lot of testing and technology development to carry out, but it’s exciting to see how drone technology gradually is developing into new safe and secure operations 🙌
 
See the video from one of our flights to Gullfaks on YouTube: https://youtu.be/hPv2FbaqIX8
 
#drones #offshore #skyports",Equinor
"📢 Final year students! 🎓 

 🚀 Are you ready to kick-start your career? Applications are now open for our 2024 graduate programme for roles in engineering and science. For our international programmes, applications are open for commercial, engineering, IT and renewables roles.  

 🌱 The next generation of talent will significantly contribute to a successful energy transition, so our investment in the graduate programme is crucial. The programme provides you with the skills and experience you need to impact the energy transition. 

 ✍ Applications close on 16 October. To learn more about our graduate programme and to apply, visit our career page: https://www.equinor.com/careers/graduates",Equinor
"It is with profound sadness that we acknowledge the passing of Her Majesty Queen Elizabeth II. 

We offer our deepest condolences to the Royal Family.",Shell
"SUMMERTIME ADVENTURES WITH SHELL GO+

Our new campaign launches today 30 June. Shell GO+ customers have the chance to win a family day pass to hundreds of the UK's best attractions, when you spend £20 or more with the GO+ App. T&C's apply. 🥇 😉 https://go.shell.com/3R2dOsH",Shell
,Shell
We're helping BWT Alpine F1 Team accelerate towards their net zero goals 🏎️ by deploying data and measurement tools to optimize energy usage at their UK Enstone site,bp
"We've partnered with the Prince's Trust  🤝to offer young people from disadvantaged backgrounds work experience at our UK retail stores. With a commitment to offer half of participants employment with bp, it’s a great way to support diversity and attracting talent.  

Find out more from Callum, a sales assistant who joined the team as part of the Prince's Trust programme.",bp
"New BP Pulse Gigahub alert 📣 Q-Park Pimlico

Our most powerful #EV charging Gigahub in London is here ⚡ Located in the heart of the capital near Victoria station, our newest Gigahub offers:

🔌 16 charge points
🚗 dedicated bays for Uber drivers
⚡ 150kW ultra-fast power
📍 Q-Park Pimlico, SW1V 4LR",bp
"ExxonMobil’s been capturing CO₂ for more than 30 years. But only our own.

In southeast Texas, we’ve broken ground on a new chapter in our #carboncapture leadership: We’ve drilled our first well at a site that could safely store CO₂ emissions for area industries.

It’s the latest milestone in our mission to help accelerate society’s path to net zero by scaling up solutions that can make a big difference, such as carbon capture and storage. 

To learn more… https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/carbon-capture-and-storage/first-ccs-well",ExxonMobil
"Reducing emissions on a global scale requires multiple solutions. And we believe biofuels can play a big part.

ExxonMobil has been collaborating with the U.S. Department of Energy National Laboratories for decades on energy technology. One example is the wood waste-to-biofuels research we’re doing with the National Renewable Energy Laboratory 🚗. 

Click below to hear from our scientists and engineers on what it’s like to jointly bring science from the lab to real life 🧪.  
https://corporate.exxonmobil.com/who-we-are/technology-and-collaborations/turning-biomass-into-fuel",ExxonMobil
"Meet Dan Ammann – one of the world’s 100 most influential climate leaders in business.

Congrats to our ExxonMobil Low Carbon Solutions president on being selected for the #TIME100Climate list.

“It’s great to be included in this prestigious list,” Dan said, “and I’m proud of the team’s efforts to advance real solutions that will help reduce the world’s emissions.”

Read more here: https://exxonmobil.co/3SEWX2j

#TIME100Climate",ExxonMobil
"🏆 On now till 29th June; Win some amazing prizes from Top Gun: Maverick merchandise to Track Day experiences!
Visit participating Shell Service Stations, choose Shell V-Power, and collect a game card to enter. Shell Go+ members only. 😀 
T&Cs apply. For more information visit: https://go.shell.com/3lVunrC",Shell
"🔌 We aim to have 100,000 public EV charge points in the UK by 2030. This means that in just eight years, 90% of UK drivers will be within 10 minutes of a Shell rapid charger.

Learn more about how we’re investing in the UK, including supporting more drivers to switch to electric: https://go.shell.com/3M3jOhK #PoweringProgress",Shell
"Win amazing prizes from Top Gun: Maverick merchandise to Track Day Driving experiences! 
Collect a game card when you choose Shell V-Power on now till 29th June 2022 to enter online. Make sure you are a Shell Go+ member to participate! 
Ts&Cs Apply. Visit: shell.co.uk/win",Shell
"Hello Northern Ireland 👋

BP Pulse and Henderson Group are teaming up to roll out rapid and ultra-fast #EV charging across the region⚡Over 40 charge points are already live now",bp
"Action update: The first transatlantic flight fuelled on 100% sustainable aviation fuel (#SAF) by a commercial airline has taken off! 🙌🛫

While today we keep people and goods moving worldwide with conventional jet fuel, we're working to scale up our SAF business, and this is just the next stop on our journey. 

We're proud to be part of the team that made this happen, along with Rolls-Royce plc, Virgin Atlantic and The Boeing Company.  

Learn more about this virgin voyage: on.bp.com/3sKUNDL",bp
,bp
"Climate change is real. So is the importance of energy security.
Both are major issues facing the world today.

The world needs a robust plan. We shared ExxonMobil’s with APEC Summit attendees today. Click the link in our bio to learn what our Chairman and CEO, Darren Woods, had to say: https://corporate.exxonmobil.com/News/Viewpoints/Reframing-the-climate-challenge",ExxonMobil
"Let’s Get It Started!  🎉

We’re ramping things up in Guyana by bringing total production capacity to approximately 620,000 barrels per day. 
Learn how we’re helping meet the world’s energy needs: https://exxonmobil.co/3QBzEnl",ExxonMobil
"More lithium for EV batteries. Less environmental impact. 

That’s the idea behind our groundbreaking plan to put North America on the map as a global lithium producer. 

Introducing … Mobil™ Lithium. 

Learn more: https://exxonmobil.co/46avV5V",ExxonMobil
"40 years ago, Gullfaks was Equinor’s major qualifying test in field development on the Norwegian continental shelf. Today, Crown Prince Haakon of Norway and Norwegian prime minister Jonas Gahr Støre visited Gullfaks C to mark a new milestone: the opening of Hywind Tampen.

This is Norway’s first – and the world’s largest – floating offshore wind farm. It’s expected to cover about 35% of the annual need for electricity at Gullfaks and Snorre – and reduce CO2 emissions by 200,000 tonnes annually 💨

The project has also contributed to new activity, green jobs, local spin-offs and technology development for future floating offshore wind projects in a growing industry.",Equinor
"The program is nearing its end, and the companies are preparing for Demo Day – the grand finale where they will present themselves to hundreds of representatives from the energy industry. Can they keep their nerves in check?",Equinor
"We are now in the Execution Phase, and several companies are testing their solutions. Norsjór is heading to Stavanger to test its underwater laser, while Liquidstar is in Indonesia with its ‘Civilization in a Box.’ Will everything go smoothly, or will they need to go back to the drawing board?",Equinor
"bp 🤝 Rolls-Royce plc 🤝 Virgin Atlantic 
  
We’ve joined forces with these aviation heavyweights to enable the world’s first-ever transatlantic flight on 100% sustainable aviation fuel (SAF) by a commercial airline! 
  
The flight is scheduled for takeoff on Tuesday 28 November – watch this space for updates! 🙌🛫",bp
"North Sea update 🌊 

We've completed our first 4D survey of Clair Ridge in the UK's biggest oil field. The data gathered is helping us find where we could place new wells. 

All part of how we're backing Britain with secure energy while scaling up investment in the #EnergyTransition",bp
The latest consultation for our Morgan offshore wind project with EnBW is closing soon. We've had great engagement with local communities & stakeholders so far. We're looking forward to hearing more 💬 & moving one step closer to delivering #offshorewind to the UK. Find out more here 👉 https://go.bp.com/cO4y4,bp
"👋 Meet Krystal Wrigley, our Fuels Technology Chief, who has been recognized by the Society of Women Engineers - SWE for making significant contributions to the #STEM community and the advancement of women in engineering.
 
Krystal has spent her 18-year career with us as a chemical engineer, beginning as a researcher and now as a leader in technology strategy and product development for lower-emission transportation fuels.

“I’m grateful for the recognition! Taking technology from discovery to products that positively impact the world is the best way I can contribute to a lower-emission future. I’m proud of the work we do.”

Congratulations, Krystal!
https://corporate.exxonmobil.com/what-we-do/lower-emission-transportation/the-aha-moment-krystal-wrigley",ExxonMobil
"Math and science are fundamental to our business, so we’re thrilled to celebrate #NationalSTEMDay. The ExxonMobil Foundation is taking a new, hands-on approach to help close the STEM education gap, directly investing in students’ futures by providing high-quality learning opportunities, along with STEM training for teachers. #ExxonMobilGiving
Learn more here:  https://exxonmobil.co/472dCkN",ExxonMobil
"🆕 We’re excited to announce Dina Powell McCormick will join our Board of Directors effective January 1st. 

Dina is currently vice chairman and president of Global Client Services at BDT & MSD Partners, an investment and advisory firm, and previously spent 16 years at The Goldman Sachs Group Inc. 

“Dina is a distinguished executive with a rare level of geopolitical, national security and economic experience,” ExxonMobil Chairman and CEO Darren Woods said. 

“She has served two U.S presidents in diplomatic and national security roles and, more recently, led Goldman Sachs’ sustainability efforts, a useful combination of experiences for the ExxonMobil boardroom.”

Welcome Dina to the ExxonMobil Board of Directors.  🎉

Learn more: https://exxonmobil.co/462JynJ",ExxonMobil
"🌈 Celebrating Pride: Creating a safe and empowering workplace 🌈  
  
As we embrace Pride Month, it's crucial to reflect on the significance of creating a safe and inclusive workplace where every employee feels valued, respected, and empowered to be their authentic selves.  
  
At Equinor, we firmly believe that embracing Pride means actively promoting a culture of belonging, diversity, and equality. Pride is an opportunity to reaffirm our commitment to creating a workplace where every employee can thrive. It is about standing together, embracing diversity, and fostering an environment where respect, acceptance, and inclusion are at the core of our values.  
  
It should always be safe to be yourself. Happy Pride Month 🧡💛💚💙💜",Equinor
"Our top priority is HSE. That’s why we register every incident – even if no one gets hurt.

In April the Bauge field in the Norwegian Sea came on stream and the subsea facility was built and installed (2.2 million work hours) without a single HSE incident. 

This shows that the zero-harm vision is possible. 

We want to send a big thank you to our suppliers, and especially the main suppliers Randaberg Industries, OneSubsea at Askøy and Ocean Installer in Stavanger.",Equinor
"Our independent analysis Energy Perspectives describes different development paths for the world economy, energy markets and greenhouse gas emissions towards 2050. 

To deliver on global climate targets, walls must be removed, trust restored, technology shared, and all good forces united to pull in the same direction.",Equinor
"We’re in action in the UK North Sea producing #Energy the world still needs today through an offshore facility that’s been operating for a quarter of a century. 💪🇬🇧🏗️ 

This footage 🎥 from our Seagull project shows how we’re reusing existing infrastructure to bring on new #OilAndGas.  

It supports our efforts to tap into resources around our North Sea portfolio and is part of our strategy to help secure today’s energy, while also investing in the #EnergyTransition. Learn more: on.bp.com/3Q4yTUF",bp
"Today, we share our 3Q results. We're building momentum and delivering growth – investing in oil and gas to keep energy flowing today AND investing in the future energy system.",bp
"Hello Norton-On-Derwent👋 Our newest store is now open! 

Just 40 minutes from York, our shiny new site offers high-quality fuel, tasty Marks and Spencer  food, Wild Bean Cafe coffee, and BP Pulse EV charging coming soon. All in one place!",bp
"Three-peat! Congrats to TOYOTA GAZOO Racing. 

👑 The WRC - FIA World Rally Championship Car Manufacturers' Champion crown looks good on you. And, as always, we're at your service. See how we power this together: https://exxonmobil.co/3MyQaDl

(All results subject to final FIA confirmation)",ExxonMobil
"We’ve combined Denbury's expertise with our commitment to playing a leading role in the energy transition, and we now have the largest CO2 pipeline network in the United States. This merger is a step forward for our Low Carbon Solutions business, adding to the $17 billion already allocated through 2027 toward lower-emission initiatives.
Learn how our combined capabilities and talents will provide more solutions for industry. https://corporate.exxonmobil.com/news/news-releases/2023/1102_exxonmobil-completes-acquisition-of-denbury",ExxonMobil
"Nothing spooky here – just us launching our methane monitoring balloon.  👻 

Learn more about how we're taking #technology to new heights.  🚀 

https://corporate.exxonmobil.com/What-we-do/Energy-supply/Methane-emissions-technology-Permian-Basin-net-zero",ExxonMobil
"Congratulations to the Njord field, today officially (re)opened by the Norwegian petroleum and energy minister Terje Aasland.  

The field first came on stream in 1997 with a planned production life of 16 years. After 19 years the platform and storage vessel was towed to shore for an extreme make over to allow for 20 more years of production.  

In late December the field came on stream again, providing secure and stable deliveries of oil & gas to Europe.",Equinor
"On 8 April production started from the Bauge subsea field in the Norwegian Sea. Bauge is tied back to the recently upgraded Njord platform.  

By utilising existing infrastructure, we can realise profitable development of small-sized discoveries in line with our strategy.",Equinor
"Energy security & safeguarding critical infrastructure was at the top of the agenda when European Commission president Ursula von der Leyen, 🇳🇴 prime minister Jonas Gahr Støre and NATO secretary general Jens Stoltenberg visited the Troll A platform today together with Equinor CEO Anders Opedal.  
 
Troll gas accounted for over 10% of the gas used in the EU in 2022. 
 
“The visit emphasizes Norway's importance as a safe and reliable supplier of energy to Europe,” Opedal says.",Equinor
Today marks another big milestone for our Morgan offshore wind project with our partner EnBW. We’re launching our latest consultation to hear feedback 💬 from local communities and stakeholders bringing us one step closer to delivering #offshorewind to the UK. Find out more 👉 https://go.bp.com/TFYd1,bp
"We’ve joined H2Accelerate 🚚 a partnership focused on accelerating the uptake of lower carbon hydrogen for trucks.

Collaborations like this are key 🤝 as we move forward with our plans to invest in building infrastructure to support hydrogen-powered trucks across major UK road routes by 2030.",bp
"Introducing Flora, our first floating #offshorewind demonstration project in Aberdeen! Flora is named after Dr Flora Murray, the Scottish medical pioneer and suffragette born in 1869. 

We’re excited to share that the project will be led by Adele Brownlie, who is the first female leading development of a bp offshore wind project in the UK.  

Learn more about Flora here 👉 on.bp.com/46gGuFl",bp
"Did you know the US Gulf Coast is becoming a leader in the effort to scale up CO₂ solutions for industry?  We’re making plans to deploy low-carbon hydrogen and carbon capture and storage for multiple Gulf Coast manufacturing sites, including our own: 

Near Houston, we’re planning to build the world’s largest low-carbon hydrogen facility at our integrated Baytown complex. More than 98% of the associated CO₂ produced by the facility, or around 7 million metric tons per year, is expected to be captured and permanently stored. 

We’ve also agreed to transport and store CO₂ to reduce emissions from Linde plc’s new hydrogen facility in Beaumont, TX; CF Industries’ manufacturing site in Donaldsonville, LA; and Nucor ’s direct reduced iron facility in Convent, LA. 

With these three agreements, the total CO₂ we’ve agreed to transport and store for third-party customers has reached 5 million metric tons per year. That’s equivalent to replacing approximately 2 million gasoline-powered cars with electric vehicles, which is roughly equal to the total number of EVs on US roads today.  

Get the full story here: https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions#Partnershipsandcollaborations",ExxonMobil
Heavy transportation needs heavy-hitting solutions. And ExxonMobil is focused on the road ahead. https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/hydrogen/hydrogen-highway,ExxonMobil
"🤝 ""If we're going to make meaningful impact on climate, in a timeframe that can make a difference, the only way to get there is through partnerships such as this one."" — Tony Will, president and CEO, CF Industries. 

Here's a look at our very first third-party carbon sequestration project, with CF industries in Louisiana. We’ll be permanently storing up to 2 million metric tons of CO₂ every year – that’s equivalent to replacing approximately 700,000 gasoline-powered cars with electric vehicles. 

https://exxonmobil.co/3QlK0sE",ExxonMobil
"We don’t have to choose between ensuring energy security or delivering on the energy transition. We can do both – at the same time.
  
Find out more about our cooperation with RWE, and how we are working together to create the energy system of the future.",Equinor
"Happy International Women's Day! Today, we recognize the progress that has been made towards gender equality, but also reflect on the work that still needs to be done.

International Women’s Day means different things to each of us. Here are some reflections from a few of the most prominent voices in Equinor empowering change and gender equality.

#IWD23 #Embraceequity",Equinor
"Collaboration brings us closer to the energy transition 🇳🇴 🤜 🤛 🇧🇷 

We’ve signed a letter of intent with Petrobras to expand cooperation and assess the feasibility of seven offshore wind power projects in Brazil. The projects have a total estimated capacity of 14.5 GW 💨

By 2030 we intend to halve the greenhouse gas emissions from our operations and allocate 50% of our investments to renewable energy and low-carbon solutions. We have the ambition to become a carbon-neutral company by 2050. The Petrobras partnership is an important step on our journey.",Equinor
"👋 Meet Nitish! Nitish Mittal, a planner in our global aromatics business. The AIChE ChEnected has named him one of its 35 Under 35 – the top young engineers in the chemical industry.

What are aromatics, you may ask? Imagine a ring-shaped molecule with three double bonds. 🧬 You could find a common aromatic, like benzene in your packaging and car parts.

Nitish has led product design and development, written peer-reviewed papers, and filed three provisional patents. The ’35 Under 35’ award is just the latest honor he has received in his career, and we’re proud to have him on our team.

Congratulations Nitish 🎉
Read more here: https://bit.ly/3FljXv9",ExxonMobil
